Epoch,Generator Loss,Discriminator Loss
1,7.2437911583827095,0.7805512203620031
2,11.965917403881367,0.6831329436256335
3,12.99768301156851,0.558474294268168
4,15.496341411884014,0.5464024159770745
5,16.288407692542442,0.5447077278334361
6,14.77113023171058,1.8837222067209392
7,5.9560792446136475,1.9934697357507853
8,3.6066995033851037,1.1622823018294115
9,3.718841075897217,0.8361926766542288
10,4.1731119981178875,0.8853658208480248
11,3.919307672060453,0.9284076300951151
12,4.224811278856718,0.605373318378742
13,4.945634768559382,1.0300757839129522
14,4.106361004022451,0.73835600568698
15,4.604839985187237,0.7116875442174765
16,5.411461481681237,0.8688368659753066
17,5.5225235132070685,0.8161885600823623
18,5.091129357998188,0.4863787247584416
19,6.27161508340102,0.8703908576415136
20,4.800588351029616,0.5328738689422607
21,5.9240773641146145,0.5812268669788654
22,5.358309525709886,0.42738436735593355
23,7.342253428239089,1.0776968346192286
24,5.478572313602154,0.49838046729564667
25,7.7044231708233175,0.6198833693678563
26,6.054769534331101,0.6209767036713086
27,5.875895005006057,0.5300667136907578
28,5.394975387133085,0.34161264392045826
29,6.2468907833099365,0.7652258895910703
30,5.875389741017268,0.5444296025312864
